SOC,HystV
0.0,0.03
0.01,0.03
0.02,0.03
0.03,0.03
0.04,0.03
0.05,0.0287239318032201
0.06,0.0273778337709322
0.07,0.0263385312564947
0.08,0.0252560050836657
0.09,0.0245812239962432
0.1,0.0251017273742532
0.11,0.0243467003413673
0.12,0.023587228094672
0.13,0.0234882341965923
0.14,0.0236170248314071
0.15,0.0241559300869723
0.16,0.0249151859659754
0.17,0.0250277259617738
0.18,0.0244763213753349
0.19,0.0243104936798213
0.2,0.0248573922550785
0.21,0.0255867069949274
0.22,0.0264627643328348
0.23,0.027164291210992
0.24,0.0275850582491036
0.25,0.0277226987211381
0.26,0.0276929919819279
0.27,0.0277131968778769
0.28,0.0279219707119831
0.29,0.0283528756836324
0.3,0.0288298013196173
0.31,0.0292900010032471
0.32,0.0295928823371923
0.33,0.029448025478269
0.34,0.0290151372195635
0.35000000000000003,0.0283669737436605
0.36,0.0274944095388623
0.37,0.0264451731396973
0.38,0.0253005516133322
0.39,0.0239922266468067
0.4,0.0226297680518222
0.41000000000000003,0.0213897613982623
0.42,0.0205312952534873
0.43,0.0200311833829738
0.44,0.0195774439815224
0.45,0.0193860559084816
0.46,0.0191005183455373
0.47000000000000003,0.0189317031698104
0.48,0.0188143629639472
0.49,0.0187189778367522
0.5,0.0187108619770334
0.51,0.0186518844316803
0.52,0.0186266321334458
0.53,0.0187189778367522
0.54,0.0187189778367522
0.55,0.0187189778367474
0.56,0.0187189778367474
0.5700000000000001,0.0187189778367522
0.58,0.0189097480911422
0.59,0.0190051332183423
0.6,0.0191005183455373
0.61,0.0191959034727325
0.62,0.0192912885999272
0.63,0.0194591776571581
0.64,0.0194820588543223
0.65,0.0197071336790044
0.66,0.0198635993631122
0.67,0.0201022287683189
0.68,0.0204359101262923
0.6900000000000001,0.0206317026911126
0.7000000000000001,0.0209128357622772
0.71,0.0212496921588613
0.72,0.0216455654377082
0.73,0.0218958819483073
0.74,0.0223363981630206
0.75,0.0225343829246274
0.76,0.0226013000714042
0.77,0.0222271681831685
0.78,0.0213897613982623
0.79,0.0203420297862291
0.8,0.0193866737271273
0.81,0.0187189778367522
0.8200000000000001,0.0182297133113263
0.8300000000000001,0.0178605116919823
0.84,0.0174891986756722
0.85,0.0172189975687439
0.86,0.0170974306744074
0.87,0.0170974306744023
0.88,0.0170420719196845
0.89,0.017173866102426
0.9,0.0171148909557846
0.91,0.0172882009287973
0.92,0.0173861892094266
0.93,0.0176697414375822
0.9400000000000001,0.0180392113949467
0.9500000000000001,0.0185194725501714
0.96,0.0191620631238288
0.97,0.0202640727844333
0.98,0.0219346791734977
0.99,0.0225175664526948
1.0,0.03
